ID,LABEL,PROJECT,PIPELINE_NODE,SOURCE_PATH,CURRENT_DEFAULT,VALUES_RANGE,CLASS,PROMPT_EFFECT,DETERMINISTIC_EFFECT,RAG_EFFECT,CONTRACT_EFFECT,RUNTIME_MUTABLE,VERSIONED,UI_CONTROL,TRACE_FIELD,NOTES
V001,Council Layer,tinkuy,pipeline_root,web_ui.py:240 LAYER_PERSONA/LAYER_CALIFORNIAN_ID,persona_layer,persona_layer|californian_id,BRANCH_SELECTOR,indirect: selects whole prompt set,selects runtime implementation,indirect,changes output payload shape,yes,no,select,runtime_layer,Not a scalar parameter. Selects which pipeline executes. Must be graph topology not dropdown.
V002,Тип входа,tinkuy,ingest→parser,web_ui.py:246,raw,raw|auto-slice|raw+fabric|semantic-units,BRANCH_SELECTOR,selects fabric prompt chain 00-11 or none,selects parser implementation,none,input schema differs per mode,yes,no,select,input_mode,Selects parser subgraph. raw+fabric activates 12 fabric prompt stages.
V003,Режим глубины,tinkuy,orchestrator,web_ui.py:255 + data/config/runtime.yaml:5-17,fast,fast|deep,E,none,"max_turns 5→12, max_voices 4→7, novelty_floor 0.15→0.08",none,none,yes,no,select,mode,Compound preset over three deterministic values.
V004,Жанр закрытия,tinkuy,closing_synthesis,data/rhetoric/genres/registry.yaml + genres/*.md,none,registry entries,A,replaces closing prompt file,none,none,none,yes,partial (files),select,closing_genre,File-backed prompt. Already registry-listed → first candidate for versioning.
V005,Диалог-протокол,tinkuy,council_turns,data/dialogue_protocols/registry.yaml + *.md,none,registry entries,A,injects protocol prompt,none,none,none,yes,partial (files),select,dialogue_protocol,File-backed prompt.
V006,Метод-пак,tinkuy,persona_module,data/method_packs/registry.yaml + *.md,none,registry entries,A,injects method prompt via method_packs.py:49,none,none,none,yes,partial (files),select (API /api/methods),method_pack,read_text at runtime → hot-swappable today.
V007a,Critique Regime · текстовая часть,tinkuy,persona_turn,regimes.py:22-36 CritiqueRegime.directness_hint,balanced,gentle|balanced|hard,A,injects directness_hint sentence into turn prompt,none,none,none,yes,no,select (shared),critique_regime,HYBRID HALF 1. Must be split from V007b in UI.
V007b,Critique Regime · числовая часть,tinkuy,router_scoring,regimes.py:22-36 CritiqueRegime.attack_bias,0.0,-0.4|0.0|+0.8,C,none,shifts router attack bias in router_scoring.py,none,none,yes,no,select (shared),critique_regime,HYBRID HALF 2. Editing the prompt text cannot change this; changing this cannot be seen in the prompt.
V008a,Variation Regime · текстовая часть,tinkuy,persona_turn,regimes.py:41-58 VariationRegime.prompt_hint,normal,strict|normal|jazz,A,injects variation hint into turn prompt,none,none,none,yes,no,select (shared),variation_regime,HYBRID HALF 1.
V008b,Variation Regime · числовая часть,tinkuy,router_scoring,regimes.py:41-58 repeat_penalty/class_repeat_penalty,0.7 / 0.35,0.2-1.3 / 0.1-0.8,C,none,repetition penalties in routing score,none,none,yes,no,select (shared),variation_regime,HYBRID HALF 2.
V009,Grounding Mode,tinkuy,persona_turn,web_ui.py:290 + _grounding_instruction() ~1402,balanced,strict_card|balanced|freer_synthesis,A,whole instruction text is Python string literal,none,none,none,no (code),NO,select,grounding_mode,EXTRACT_TO_PROMPT_ASSET candidate. Not editable without redeploy.
